Artists,Album,Genre,Lyrics,Mood,MoodValue
Black Eyed Peas,Let's Get It Started,Hip Hop/Rap,"Let's get started, here... And bass keep runnin' runnin', And runnin' runnin', And runnin' runnin', And runnin' runnin', And runnin' runnin', And runnin' runnin', And runnin' runnin', And runnin' runnin', and... In context, there's disrespect, so, I bust rhyme, break necks We got five minutes us disconnect, intellect let rhythm effect Obstacles inefficient, follow intuition, free inner soul break away tradition 'Cause beat out, girl pullin' without. You believe wow shit Burn till burned out. Turn till turned out. Act north, west, east, south Everybody, everybody, let's get Get stupid Get started, get started, get started Let's get started , let's get started Let's get started , let's get started Let's get started , let's get started here. Let's get started , let's get started here. Yeah Lose control, body soul Don't move fast, people, take slow Don't get ahead, jump Y'all hear it, Peas'll Get stutted, get stupid Don't worry 'bout people walk Step step, like new kid Inch inch new solution Transmit hits, delusion The feeling's irresistible that's movin' Everybody, everybody, let's get Get stupid Get started, get started, get started Let's get started , let's get started Let's get started , let's get started Let's get started , let's get started Let's get started , let's get started Yeah. The bass keeps runnin' runnin', runnin' runnin', And runnin' runnin', runnin' runnin' and... C'mon y'all, let's get cookoo! Let's get cookoo! Why get cookoo! Let's get cookoo! Why get cookoo! Let's get cookoo! Ow, ow, ow! Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya... Let's get ill, that's deal. At gate, we'll bring bud top drill. Lose mind time, Y'all test drill, Just bang spine. Bob head like Apl.De, inside club Bentley. Get messy, loud sick. Y'all mount past slow mo another head trip. Come correct it, let's get ignant let's get hectic. Everybody, everybody, let's get it. Get stupid. Get started , get started, get started. Let's get started , let's get started here. Let's get started , let's get started here. Let's get started , let's get started here. Let's get started , let's get started here. Yeah. Cookoo We cookoo! Let's get cookoo! We cookoo! Why get cookoo! We cookoo! Ow, ow, ow! Ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya, ya... Runnin' runnin', runnin' runnin', And runnin' runnin', runnin' runnin'",Sad,0
Nine Inch Nails,Metal,Rock,"We're building make us grow And I'm frightened liquid engineers Like My mallory heart sure fail I could crawl around floor like I'm real Like The sound metal I want You I learn man Like Plug turn Oh, everything moving I need treatment It's tomorrow send Singing ""I American"" Do you? Picture If I make change I'd love pull wires wall Did you? And you? And I try? Here inside I like metal Don't you?",Happy,1
Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),Rock,"Once lay open like road Carved apart madness I stumbled But fell away She fell away Shed like skin She fell away Left holding everything Once road lay open like girl And drank laughed threw bottle But fell away She fell away I see cracks form As I knelt pray I see crevice yawn, Sometimes At night I feel end hand My pistol going crazy hand For fell away O fell away Walked th brink The fell away I see fall To better days Sometimes I wonder ever She fell away She fell away She fell away",Happy,1
Lesley Gore,It's My Party,Pop,"It's party I'll cry I want Cry I want Cry I want You would cry too, happened Nobody knows Johnny gone But Judy left time Why holding hand When he's supposed mine? It's party I'll cry I want Cry I want Cry I want You would cry too, happened Play records, keep dancing night But leave alone awhile Till Johnny's dancing I've got reason smile It's party I'll cry I want Cry I want Cry I want You would cry too, happened Judy Johnny walked door Like queen king Oh, birthday surprise Judy's wearing ring It's party I'll cry I want Cry I want Cry I want You would cry too, happened Oh, party I'll cry I want Cry I want Cry I want You would cry too, happened Oh, party I'll cry I want",Happy,1
Slim Whitman,Indian Love Call,Country,"When I'm calling Will answer too? That means I offer love If refuse I blue, waiting alone But hear love call ringing clear And I hear answering echo dear Then I know love come true You'll belong me, I'll belong Then I know love come true You'll belong me, I'll belong",Happy,1
Savage Garden,You Can Still Be Free,Rock,Cool breeze autumn leaves Slow motion daylight A lone pair watchful eyes Oversee living Feel presence around A tortured soul A wound unhealing No regrets promises The past gone But still free... If time set free... Time spread wings To take flight The life endeavor Aim burning sun You're trapped inside But still free... If time set free... But long long way go Keep moving way high You see light It shines forever Sail crimson skies The purest light The light sets free... If time set free... Sail wind rain tonight You're free fly tonight And still free... If time set free... And go high like mountain tops And go high like wind stop And go high Hoo Free fly tonight Free fly tonight,Happy,1
Queens Of The Stone Age,I Never Came,Rock,"When say dead gone Yes, I know wrong Cut slash, sharpest knife It die Poison cup, drank It die No fire, gun, rope, stone It die Why gotta shove face As put place? 'Cause I care wrong right Ain't gonna spend another night In bed In bed Laws man pretend They ain't mine Love good, love bad It die Some talk long, know I smile move Words ain't free, like I mind Why'd mean cruel? The dogs loose, I'm You ball chained together dawn dusk Can't call leavin', 'cause I never came I never came I never came I never came I never came I never came",Sad,0
Inspiral Carpets,Commercial Reign,Rock,"Mary's crying baby, baby doll Ah, commercial rain Peter's moaning teddy, teddy bear Ah, commercial rain Mary's crying baby, baby doll Ah, commercial rain Peter's moaning teddy, teddy bear Ah, commercial rain Mary's crying baby, baby doll Ah, commercial rain Peter's moaning teddy, teddy bear Ah, commercial rain Mary's crying baby, baby doll Ah, commercial rain Peter's moaning teddy, teddy bear Ah",Sad,0
Organized Konfusion,Hate,Hip Hop/Rap,"Pharoahe Monche: Recognize nigga, look eyes See raw visualizations hate reincarnated In unadulturated form I breeth evil incarnate Only purpose mislead, promising seeds Are destroyed misplaced mischievous weeds greed The purpose, inseminate bitches Eliminate top rappers, throw remains insides ditches Nigga political snitches, Abe The reason I'm able strike vicious Yeah Take keys, years found Allowing Simeons freed that's locked It returns way back block Only cop Smack, Rock cops act Not manner prosper You Ab-so-lete unless You handle ball full-court press When weak emotion love fails bring hope Kneel master nigga, invoke strongest emotion Known mankind HATE! Awww, sadly mistaken think Aryan race Can taken likes Apes, Kikes Conservative nigga loving Gooks, Spooks, Dykes My Spikes, bald headed white laces Braces fact I'm prepared vicious acts war White power! HATE! Mike: What hear situation government Is allowing aliens take country We can't allow happen! Turn bibles Psalms 34:21 ""Evil shall slay wicked, hate righteous Shall desolate."" You there! Young man back hand Prince Poetry: Who me? Mike: Speak Prince Poetry: A fucking taxpayer salutes Confederate flag My chain thoughts rag Aryan ways learned grand-dad I'm toes around monkeys spics I thank God I'm white, pure mix We need snatch niggas fags, reissue slave tags Regain job positions, remain control opposition Placed scum earth, serving us hand foot I'll rape 'em slave 'and trade 'em birth Never overlook main crook disperse shook Versions bible, Sabotaging shit since Christophers arrival Hate! Making Indian pay survival Now life Ricans Coons homicidal We Neo-Nazis seek nothing world domination God's plan us seek destroy man's false creation It's exerted good book Revelations Set destroy spades Jews hidden stations So offspring's end confusion good No smooching welfare jiggaboos so-called hood Sickle cells decreasing death rate, black bitch But I like way suck wood Germ grenades form A.I.D.S. made wipe But queers got shit semi-reversed running I'm college knapsack sacrilegious artifacts Notes Grand Dragon, swastika, three grams, two gats HATE!",Sad,0
Martina McBride,I Can't Stop Loving You,Country,"I can't stop loving So I've made mind To live memory Of old lonesome time I can't stop wanting It's useless say So I'll live life In dreams yesterday. Those happy hours That knew Though long ago, They still make blue They say time Heals broken heart But time stood still Since we've apart.",Happy,1
Hot Tuna,Candy Man,Rock,Well candyman said gone Well candyman said gone Candyman said gone Wish I New Orleans sittin' candy stand Well candyman said Salty dog Well candyman said salty dog Well candyman said salty dog I can't salty dog I candyman Run corner get baby beer Run corner get baby beer Run corner get baby beer Wish I New Orleans sittin' candy stand Well candyman said gone Well candyman said gone Candyman said gone Wish I New Orleans sittin' candy stand,Happy,1
Boyz II Men,On Bended Knee,R&B,"And I... Darlin' I, I can't explain Where lose way Girl drivin' insane And I know I need one chance To prove love If come back I'll guarantee That I'll never let go Can go back days love strong Can tell perfect love goes wrong Can somebody tell get things back The way used Oh God give reason I'm bended knee I'll never walk again, come back I'm bended knee So many nights I dream Holding pillow tight I know I need alone When I open eyes To face reality Every moment without It seems like eternity I'm begging you, begging come back Can go back days love strong Can tell perfect love goes wrong Can somebody tell get things back The way used Oh God give reason I'm bended knee I'll never walk again, come back I'm bended knee Baby, I'm sorry. Please forgive wrong I've done. Please come back home girl. I know put trust In me, I'm sorry I let down. Please forgive girl. I'm gonna swallow pride Say I'm sorry Stop pointing fingers, blame I want new life And I want If feel Don't ever let go You gotta believe, spirit love It heal things We hurt No I believe love's terminal I'm knees, begging please Come home Can go back days love strong Can tell perfect love goes wrong Can somebody tell get things back The way used Oh God give reason I'm bended knee Can go back days love strong Can tell perfect love goes wrong Can somebody tell get things back The way used Oh God give reason I'm bended knee I'll never walk again, come back I'm bended knee",Happy,1
Donny Hathaway,Little Girl (LP Version),Soul,"Hello, little girl, little girl, little girl Hello, little girl, little girl, hello Where been? Why go? Little girl, hello You know wrong little girl, little girl I tell what's wrong Little girl, little girl, know wrong For leave happy home Oh, baby, little woman, hello Hello, would stay little girl, little girl? How long would stay time, little girl? How long would stay decide go away? Little girl, hello You without you, baby Come in, sit Let tell without you, baby Lonely, oh, lonely, yeah Lonely baby, hey, lonely Why go? How long would stay? Can't see, can't see I love you? Yeah",Sad,0
Wolfmother,White Feather,Rock,"You wanted love You wanted love thinking You step left You step left dancing feet, Dancing feet I, I can't compete dancing feet, Somebody gotta try get know Somebody gotta try say right Said right Oh, oh, ah Dancing feet I, I can't compete dancing feet Some people say They can't compare here, You see 'cause girl She say oh no, another boy would like know Somebody gotta try get know Somebody gotta try say right That right She got white feather To get night She got white feather To make feel right Dancing feet Somebody gotta try get know Somebody gotta try say right That right",Happy,1
Jupiter Rising,They Say (Album),Pop,"Baby, I know danger came I wanna find someone I blame Call doctor 'cause I sick love And I can't help Baby, I'm worried mental state Don't know I'll recuperate Think serious, gone bad worse And I'm trouble I think I'm coming something I know gonna need medicine So help now, I'm freaking lover This love serious You get seriously mind And I us Baby, baby Cause serious, we're seriously onto something Lover, love like one So I'm crazy hope understand Hurry doctor come, need get You know time I think I'm coming something I know gonna need medicine So help now, I'm freaking lover This love serious You get seriously mind And I us Baby mine And know I can't stand How girls wanna getting place So get man try mess Cause love serious, we're seriously onto something You got delirious, I'm control Point must, arrow's got poisoned Tell treatment is, love's got insane My prescription kiss boy got wantin'",Sad,0
Saafir,Crawl Before You Ball (Album Version),Hip Hop/Rap,"Yo Saafir what's goin' playboy? Saafir: What's really goin' on? Huh, tell baby. Saafir:Hey, like man. I gotta let motherfuckers know crawl man. I know everybody tryin' come immediately. Saafir:You know got motherfuckin' perseverance 'cause Ain't hold though. I gotta go man. You hear ambition mobbin' po position The intention come Do grindin' pay boss floss And lose mind find discipline' And stackin' scratch So come missin' As askin' Lord guidance While ridin' Stickin' movin' slidin' In game Unless realize sprung legalize funds All track hustlers made corner Dodgin' coroner's office I'm tossin' Now sermon type shit I'm burnin' I gotta write The mic got ballin' Shot callin' It's murk one like Sit back starship So I tarnish rust When I'm bustin' next jerk Who swears he's ballin' can't network You better sexwork The way fucked game It's shame I'm aimin' bathroom stall y'all With H.J.s deflecting hate rays Until sun falls You acquired dream Crawl ball What thought? You gonna ball spot? Let's real You gotta stack dollar bills get mil Gotta handle business choose chill fall Crawl ball All pompous ass marks Babylon yawnin' Becomin' another nigga spawnin' &gt;From trenches The stench unknown I've crawlin' like two toed Chameleon long Writing songs ridin' thongs With bracelets ankle bone That's anxious moan Like Neena Samone Have trick Sickin' thinkin' That know You better crawl ball man Before fall man Keep ya hoes payroll Unless crawl And know And even fall I'm like fuck 'em I got It's new sheriff town name Reggie Mamoo Ya hear? More like Saafir On crawl By watch daddy ball I'm ears eyes Recognize I'm crawlin' Baby baby let kick y'all You gotta crawl ball I've seen many many soldiers fall They know crawl ball You see gotta put major work first Before burst Crawl ball never lose thirst When ballin' Or gonna end broke butt naked garments While I'm makin' cheese Parmesian Learn game fast rate Apply walk stalk I fall 'cause I'm put work And I'm stick plan Now I'm stay folleys The team turn brace God gave green Going, going till I'm gone I'm ballin'",Sad,0
The Verve Pipe,Medicate Myself,Rock,I hear cryin' But I see anger eyes I want judge I need keeps warm inside A man without purpose Stares mirror wall You think know problems I think know I believe I suffer Disease proclaim And I believe I kneel hang head shame Held prisoner monkey Strapped behind back And I sit ablaze The light slowly fading black So I I've got medicate I've got medicate I've got medicate Cause need hanging 'round One drink I drowned I know hate see As I defeat way You know can't control You know I'm slipping day day Down obsession Down hole I belong And fight You stay right I gone So I I've got medicate 3x I found broken And lying floor An empty bottle drain I put hand right kitchen door I've got medicate Cause need hanging 'round I barely get coat already Crawling back Yeah get watch sinking One drink I drowned I've got medicate,Sad,0
Maxi Priest,Groovin' In The Midnight,Ska,"I wanna I wanna Ah yeah, yeah I wanna I wanna Ooh, ooh, yeah, yeah, ah yeah, yeah Groovin' night Groovin' midnight Sailing summer breeze Rocking passion Groovin' midnight Sailing summer breeze Rocking passion Is imagination deal Already jumping conclusions? It feels real You say bottom line's excitement You give up, far go The night young calls fun So let's take slow Groovin' midnight Sailing summer breeze On summer breeze Rocking passion Talking ecstasy To ecstasy, ecstasy Groovin' midnight Sailing summer breeze Rocking passion Talking ecstasy Did I read right I take cue? I'll make first move And I'll leave We can't go wrong feeling like We'll desire lead way And we'll follow The sky's limit You say Soon we'll see If playing cute The sky's limit You say Soon we'll see If playing cute Groovin' midnight Sailing summer breeze Rocking passion Talking ecstasy Groovin' midnight Sailing summer breeze Rocking passion Talking ecstasy Oh yeah I wanna I wanna Yeah, yeah, yeah I wanna I wanna Ah yeah, yeah I wanna I wanna Ooh, ooh, ooh, ooh, ooh, ooh, ooh I wanna The sky's limit You say Soon we'll see Soon we're gonna see Soon we're gonna see If playing cute The sky's limit You say Soon we'll see If playing cute Groovin' midnight Sailing summer breeze Rocking passion Talking ecstasy Talking ecstasy Groovin' midnight Sailing summer breeze Rocking passion Talking ecstasy Oh guide, guide Rockin' a-groovin' And a-groovin' guide Oh guide, guide Rockin' a-groovin' If alright, almost midnight We got moonlight If alright, almost midnight We got moonlight With you, you, girl Groovin' midnight Sailing summer breeze Rocking passion The night young calls fun So let's take slow Groovin' midnight Sailing summer breeze Rocking passion ecstasy",Happy,1
Porcupine Tree,Waiting,Rock,Waiting To born Wanting The saddest kind pain Waiting day When I crawl away Nothing Is I feel Waiting For drugs make real Waiting day When I crawl away Waiting To disciplined Aching For nails across skin Waiting day When I crawl Waiting day When I crawl away,Happy,1
Foo Fighters,Hell,Rock,"This state, I'm A place I've never I'm dyin' meet Come break skin I'll let sink right And show everythin' See Hell We'll gather around fire And I lead choir Sing farewell See Hell Don't break spell We'll drown wishin' well We'll find time kill I'll right The Buzz inside head The horrible electric chair See Hell We'll gather around fire And I lead choir Sing farewell See Hell",Sad,0
Robben Ford,I Got Over It (Album Version),Jazz,"I got finally got around I got finally got around I got past last Well day I first met I thought sweetest thing But got dog gone wild Lord crying shame I got finally got around I got finally got around I got past last I love true, honey Then I found vain Everytime I would turn back You hittin' someone I got finally got around I got finally got around I got past last So high finally got So wide finally got around it... So deep finally came surface I can't believe purpose I want angel Or man could jive All I wanted one man To keep satisfied I got finally got around I got finally got around I got past last",Happy,1
Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),Christian,"Oh oh, oh oh, oh oh, oh oh You see anxious heart. You see I feeling, And I fall apart, You hold me. How great Your love me, Now I see Your thinking. You say I'm beautiful, Your voice healing So I'm Hanging every word speak. 'Cause I need. Hangin' every word say, To light way. Even every little whisper I'm Hanging life. I'm hanging on. Oh oh, oh oh, oh oh, oh oh, And darkness falls, I can't see what's me. Your voice like tongue, Always guide me. You know better I know myself. Mm.Better anybody else. Your love sounding like ringing bell. Oh oh, oh oh, I let go... Oh oh, oh oh, oh oh, oh oh, Oh oh, oh oh, oh oh, oh oh,",Happy,1
